,precision,recall,f1-score,support
Non Demented,0.8855787634184905,0.800270717401113,0.8407663440647837,13298.0
Very mild Dementia,0.3337384540593097,0.48930862437633643,0.3968208092485549,2806.0
Mild Dementia,0.25838926174496646,0.3155737704918033,0.28413284132841327,976.0
Moderate Dementia,0.0,0.0,0.0,244.0
accuracy,0.7113253290233202,0.7113253290233202,0.7113253290233202,0.7113253290233202
macro avg,0.3694266198056917,0.4012882780673132,0.3804299986604379,17324.0
weighted avg,0.7483886179573191,0.7113253290233202,0.7256582594817287,17324.0
